mr,ref
"day[1 7], month[4], year[2004]","Today is the seventeenth of April in the year 2004 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2018]","The date is September three in the year 2018 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[3], year[2000]","The date is March one in the year 2000 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[10], year[2017]","It is October the twentieth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[11], year[2015]","It is November the seventeenth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[8], year[2011]","It is August the twelfth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[12], year[2007]","It is three December of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[7], year[2015]","It is the sixth of July , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[2], year[2005]","The date is nine February 2005 .","-1 -1 -1 0 2 3 -1"
"day[2 6], month[2], year[2011]","It is twenty six February 2011 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[4], year[2020]","The date is April twenty five in the year 2020 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 4], month[8], year[2014]","The date is August the fourteenth of the year 2014 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[3], year[2004]","Today is twenty five March of the year 2004 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 1], month[7], year[2019]","The date is July eleven , 2019 .","-1 -1 -1 2 0 4 3 -1"
"day[2 7], month[11], year[2004]","It is November twenty seven , 2004 .","-1 -1 2 0 0 4 3 -1"
"day[2 3], month[5], year[2015]","The date is twenty three May of the year 2015 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 5], month[4], year[2004]","Today is April the twenty fifth , 2004 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 2], month[12], year[2010]","Today is the second of December , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[8], year[2005]","The date is August the fifth , 2005 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 7], month[4], year[2020]","It is the seventh of April in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[4], year[2018]","Today is April the twenty third of the year 2018 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[2], year[2005]","The date is February the sixth , 2005 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 8], month[4], year[2002]","The date is the twenty eighth of April in the year 2002 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[9], year[2010]","Today is September the fourth , 2010 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[10], year[2010]","It is October eleven in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[4], year[2006]","It is the fifth of April , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[1], year[2014]","The date is twenty five January of the year 2014 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 1], month[8], year[2000]","It is August the eleventh , 2000 .","-1 -1 2 -1 1 4 3 -1"
"day[2 6], month[8], year[2012]","Today is August the twenty sixth of the year 2012 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 8], month[12], year[2008]","Today is the eighteenth of December , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[1], year[2013]","The date is the seventeenth of January , 2013 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[2], year[2016]","It is February ten in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[5], year[2006]","The date is May twenty seven , 2006 .","-1 -1 -1 2 0 0 4 3 -1"
"day[3 1], month[1], year[2000]","The date is January thirty one in the year 2000 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[9], year[2006]","Today is the twelfth of September , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[9], year[2014]","It is twelve September of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[4], year[2015]","Today is April seven , 2015 .","-1 -1 2 0 4 3 -1"
"day[3 1], month[1], year[2016]","The date is January the thirty first of the year 2016 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[11], year[2011]","It is November the seventeenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 6], month[7], year[2018]","The date is July the twenty sixth of the year 2018 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 6], month[4], year[2020]","It is April the sixteenth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[1], year[2020]","Today is January the twenty eighth of the year 2020 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[5], year[2019]","Today is May the seventeenth of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[3], year[2014]","It is March five in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[12], year[2018]","The date is the twenty third of December in the year 2018 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[6], year[2018]","It is the twenty ninth of June , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 9], month[10], year[2009]","It is October nine in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[8], year[2009]","It is the eighteenth of August in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[8], year[2015]","It is August the ninth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 9], month[4], year[2001]","It is nine April of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[8], year[2015]","Today is the second of August in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[12], year[2013]","The date is December twenty seven , 2013 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 0], month[11], year[2014]","The date is November the tenth of the year 2014 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[1], year[2017]","The date is seventeen January 2017 .","-1 -1 -1 0 2 3 -1"
"day[0 1], month[4], year[2009]","The date is April one , 2009 .","-1 -1 -1 2 0 4 3 -1"
"day[3 1], month[5], year[2014]","It is the thirty first of May , 2014 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[4], year[2000]","Today is April the sixteenth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[6], year[2013]","The date is fifteen June of the year 2013 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[8], year[2012]","The date is August the twenty fourth , 2012 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 3], month[4], year[2009]","Today is three April of the year 2009 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[8], year[2011]","The date is the eighteenth of August in the year 2011 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[7], year[2003]","The date is twenty two July of the year 2003 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 7], month[7], year[2006]","It is the seventeenth of July in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[9], year[2018]","Today is September the twenty seventh of the year 2018 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 8], month[11], year[2012]","It is the twenty eighth of November , 2012 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 4], month[12], year[2018]","It is December twenty four , 2018 .","-1 -1 2 0 0 4 3 -1"
"day[2 9], month[12], year[2005]","It is December the twenty ninth of the year 2005 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 0], month[5], year[2020]","Today is May ten in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[9], year[2009]","It is September eight in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[10], year[2020]","Today is October ten , 2020 .","-1 -1 2 0 4 3 -1"
"day[2 3], month[2], year[2003]","It is the twenty third of February in the year 2003 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[11], year[2013]","Today is twenty six November of the year 2013 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 3], month[2], year[2004]","It is February the third , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[1 8], month[9], year[2016]","Today is September the eighteenth , 2016 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[9], year[2015]","The date is September the eleventh of the year 2015 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[7], year[2012]","It is July the twenty first of the year 2012 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 8], month[11], year[2006]","It is November the eighteenth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[11], year[2009]","It is the twenty ninth of November , 2009 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[8], year[2012]","Today is August the sixteenth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[1 3], month[5], year[2001]","The date is May thirteen , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[2 2], month[6], year[2017]","It is June twenty two in the year 2017 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[7], year[2011]","It is July the tenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 9], month[10], year[2003]","Today is October twenty nine , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[2 3], month[1], year[2013]","Today is the twenty third of January , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 7], month[2], year[2009]","The date is February the twenty seventh , 2009 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 4], month[6], year[2017]","It is June fourteen , 2017 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[6], year[2017]","The date is the twelfth of June , 2017 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[5], year[2007]","It is May the twenty second , 2007 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 7], month[8], year[2017]","The date is August the seventeenth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 1], month[12], year[2007]","It is twenty one December 2007 .","-1 -1 0 0 2 3 -1"
"day[3 0], month[8], year[2011]","It is the thirtieth of August in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[10], year[2000]","It is October four in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[1], year[2018]","The date is January the tenth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 3], month[12], year[2016]","Today is December the twenty third of the year 2016 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[11], year[2013]","The date is November twenty five , 2013 .","-1 -1 -1 2 0 0 4 3 -1"
"day[3 1], month[5], year[2013]","Today is thirty one May 2013 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[9], year[2015]","The date is September thirteen in the year 2015 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[12], year[2010]","Today is six December of the year 2010 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[2], year[2019]","It is February fourteen , 2019 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[11], year[2004]","Today is November the twenty fourth of the year 2004 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 4], month[1], year[2019]","Today is January twenty four , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[0 7], month[7], year[2002]","Today is the seventh of July , 2002 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[3], year[2001]","Today is March nine , 2001 .","-1 -1 2 0 4 3 -1"
"day[1 1], month[9], year[2012]","The date is September eleven , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[2 4], month[8], year[2013]","It is August twenty four , 2013 .","-1 -1 2 0 0 4 3 -1"
"day[0 3], month[8], year[2014]","It is August the third of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[1], year[2010]","It is January the sixth , 2010 .","-1 -1 2 -1 1 4 3 -1"
"day[1 3], month[3], year[2011]","It is thirteen March of the year 2011 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[6], year[2003]","It is June eleven in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 1], month[9], year[2016]","The date is the thirty first of September in the year 2016 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[7], year[2019]","Today is July the twenty eighth , 2019 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 4], month[4], year[2008]","The date is twenty four April 2008 .","-1 -1 -1 0 0 2 3 -1"
"day[3 0], month[9], year[2008]","Today is thirty September of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[12], year[2020]","It is December nineteen , 2020 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[4], year[2012]","The date is April the sixth of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[5], year[2006]","It is the twenty ninth of May , 2006 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 3], month[1], year[2020]","It is January the twenty third of the year 2020 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[11], year[2008]","The date is the twenty third of November , 2008 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[7], year[2006]","The date is July the seventeenth of the year 2006 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[1], year[2001]","The date is January eight in the year 2001 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[4], year[2009]","It is April the twenty seventh , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 7], month[12], year[2009]","Today is December the seventh of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[5], year[2016]","It is six May of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[3], year[2002]","It is twenty three March 2002 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[4], year[2011]","It is the thirteenth of April , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[2], year[2009]","Today is thirty February 2009 .","-1 -1 0 2 3 -1"
"day[3 0], month[9], year[2008]","Today is thirty September 2008 .","-1 -1 0 2 3 -1"
"day[0 4], month[5], year[2002]","The date is May four , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[1 9], month[11], year[2019]","It is November nineteen in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[11], year[2005]","It is the twenty seventh of November , 2005 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 9], month[6], year[2015]","The date is June nine in the year 2015 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[4], year[2005]","It is the eleventh of April , 2005 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[3], year[2007]","The date is sixteen March of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[2], year[2010]","It is February the thirty first , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 4], month[2], year[2003]","The date is February fourteen , 2003 .","-1 -1 -1 2 0 4 3 -1"
"day[0 7], month[3], year[2010]","Today is the seventh of March , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[9], year[2009]","It is September eleven , 2009 .","-1 -1 2 0 4 3 -1"
"day[2 0], month[10], year[2006]","Today is the twentieth of October , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[4], year[2010]","The date is the sixteenth of April , 2010 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[7], year[2005]","It is thirty one July 2005 .","-1 -1 0 0 2 3 -1"
"day[0 6], month[2], year[2002]","It is February six , 2002 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[11], year[2013]","Today is the twenty second of November , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 0], month[8], year[2020]","The date is August twenty , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[2 2], month[10], year[2019]","Today is the twenty second of October , 2019 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 1], month[7], year[2001]","The date is July twenty one in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[3], year[2019]","Today is the tenth of March in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[1], year[2009]","Today is January the thirty first , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 7], month[6], year[2006]","Today is the seventh of June , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[9], year[2008]","It is thirty one September 2008 .","-1 -1 0 0 2 3 -1"
"day[2 0], month[6], year[2020]","It is June twenty , 2020 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[3], year[2017]","The date is March the fifth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 8], month[12], year[2004]","The date is December the twenty eighth of the year 2004 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 4], month[5], year[2019]","The date is fourteen May 2019 .","-1 -1 -1 0 2 3 -1"
"day[0 5], month[4], year[2000]","Today is April the fifth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[9], year[2006]","The date is the twenty seventh of September , 2006 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 4], month[4], year[2006]","Today is April the twenty fourth of the year 2006 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 5], month[11], year[2004]","The date is November five , 2004 .","-1 -1 -1 2 0 4 3 -1"
"day[1 5], month[6], year[2010]","Today is June fifteen , 2010 .","-1 -1 2 0 4 3 -1"
"day[1 8], month[1], year[2002]","Today is January eighteen , 2002 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[11], year[2017]","Today is six November 2017 .","-1 -1 0 2 3 -1"
"day[1 3], month[1], year[2018]","The date is January thirteen , 2018 .","-1 -1 -1 2 0 4 3 -1"
"day[1 6], month[5], year[2019]","The date is the sixteenth of May , 2019 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[1], year[2008]","It is thirteen January of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[3], year[2016]","Today is March ten , 2016 .","-1 -1 2 0 4 3 -1"
"day[2 5], month[10], year[2012]","Today is twenty five October 2012 .","-1 -1 0 0 2 3 -1"
"day[0 1], month[6], year[2011]","The date is one June of the year 2011 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[10], year[2008]","It is October the twenty second of the year 2008 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 2], month[7], year[2019]","Today is twelve July 2019 .","-1 -1 0 2 3 -1"
"day[1 2], month[9], year[2016]","Today is September twelve , 2016 .","-1 -1 2 0 4 3 -1"
"day[1 5], month[6], year[2001]","Today is June fifteen in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[9], year[2013]","Today is September the twenty second of the year 2013 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 4], month[12], year[2001]","Today is December the twenty fourth of the year 2001 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 6], month[8], year[2020]","It is August sixteen in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[10], year[2019]","The date is twenty three October 2019 .","-1 -1 -1 0 0 2 3 -1"
"day[1 2], month[10], year[2013]","Today is twelve October of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[1], year[2015]","Today is January eighteen in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[1], year[2003]","Today is January the twenty ninth of the year 2003 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[2], year[2020]","The date is the eleventh of February in the year 2020 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[8], year[2010]","It is August the nineteenth of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[3], year[2015]","Today is March the twenty seventh , 2015 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 3], month[3], year[2016]","Today is three March 2016 .","-1 -1 0 2 3 -1"
"day[2 1], month[10], year[2019]","It is October the twenty first , 2019 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 4], month[1], year[2020]","Today is twenty four January 2020 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[11], year[2007]","It is November the thirteenth of the year 2007 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[7], year[2013]","The date is the thirty first of July in the year 2013 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[9], year[2009]","It is September thirty , 2009 .","-1 -1 2 0 4 3 -1"
"day[2 3], month[1], year[2011]","The date is January the twenty third of the year 2011 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 9], month[9], year[2002]","Today is September twenty nine in the year 2002 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 3], month[1], year[2018]","Today is the twenty third of January , 2018 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[9], year[2017]","Today is September thirty in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[7], year[2002]","It is eighteen July of the year 2002 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[8], year[2010]","The date is August sixteen , 2010 .","-1 -1 -1 2 0 4 3 -1"
"day[1 1], month[2], year[2017]","It is February the eleventh of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[12], year[2018]","It is the eighth of December , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[11], year[2008]","Today is the twenty fourth of November , 2008 .","-1 -1 -1 1 1 -1 2 4 3 -1"
